Protein,FS1 A MCF7,FS1 B MCF7,FS2 A MCF7,FS2 B MCF7,FP1 A MCF7,FP1 B MCF7,FP2 A MCF7,FP2 B MCF7,FP3 A MCF7,FP3 B MCF7,MIN PSMs for quant
PER1,1.4745,1.2488,1.9250,2.1409,0.8657,0.8647,0.5750,0.6865,0.7571,0.8744,6
PER2,0.9861,1.0313,1.8863,2.2548,0.8863,0.9305,0.8817,0.8113,0.9404,0.8375,11
PES1,0.5735,0.5331,0.7758,0.8342,1.5810,1.6042,0.9464,0.9684,1.8132,1.7098,169
PET100,0.4488,0.4352,0.4086,0.8761,1.3513,1.5418,2.6321,2.2987,0.9903,1.0235,2
PET112,0.7667,0.8787,1.0598,0.7861,1.3375,1.5008,1.7229,1.8319,0.6743,0.6444,32
PET117,0.2350,0.1916,0.2302,0.3666,1.5776,1.9677,2.6389,2.4422,0.9876,1.1935,4
PEX1,2.1700,1.9345,0.4586,0.4611,1.1450,1.1920,1.7213,1.7115,1.0326,1.1655,42
PEX10,0.5165,0.3783,0.3883,0.3953,1.4664,1.5057,1.7741,1.9939,1.6766,1.8842,4
PEX11A,0.7588,0.6903,0.9465,0.9797,1.2545,1.1651,1.9580,1.5165,1.1403,0.9184,5
PEX11B,0.5203,0.6698,0.3975,0.5189,1.3837,1.3420,1.8748,2.1234,1.2778,1.2360,43
PEX11G,0.2845,0.4333,0.2453,0.3682,1.5778,1.5445,2.2374,2.3191,1.4482,1.0977,6
PEX12,0.8749,0.6003,0.9853,1.4832,1.0898,1.2018,1.4867,1.6293,1.1068,1.2750,6
PEX13,0.7678,0.9993,0.5558,0.5635,1.2792,1.2669,2.0285,1.9318,1.4109,1.4984,25
PEX14,0.4669,0.4723,0.4152,0.4490,1.3075,1.4301,2.1044,2.0674,1.3055,1.3621,40
