Protein,FS1 A MCF7,FS1 B MCF7,FS2 A MCF7,FS2 B MCF7,FP1 A MCF7,FP1 B MCF7,FP2 A MCF7,FP2 B MCF7,FP3 A MCF7,FP3 B MCF7,MIN PSMs for quant
DAPK2,5.7728,5.7518,0.3077,0.6392,0.6673,0.6197,0.4679,0.4739,0.2739,0.1813,1
DAPK3,1.2948,1.2315,1.4415,1.4889,0.9213,0.9154,0.9690,0.9535,0.9184,1.0692,25
DARS,2.1585,2.1142,1.0447,0.9115,0.5870,0.6038,0.6500,0.6521,1.9337,1.9087,242
DARS2,0.5089,0.5247,0.9820,0.7574,1.3708,1.5203,1.8849,1.8641,0.7573,0.7483,182
DAXX,0.5262,0.5561,1.5197,1.4715,1.0884,1.0607,0.6889,0.7835,1.6650,1.5286,35
DAZAP1,0.7487,0.6640,1.7048,1.5953,1.1446,1.1595,0.7076,0.8399,1.1912,1.1182,75
DBF4,0.7020,0.6757,1.4639,1.5842,1.0368,1.1403,0.8966,0.9925,1.0360,1.1686,18
DBI,5.8098,5.4991,0.9343,1.0258,0.3824,0.3936,0.3379,0.3110,0.2726,0.2887,164
DBN1,0.4603,0.5222,0.8032,0.9898,0.9750,1.0770,1.2603,1.2065,2.1925,1.8112,232
DBNDD1,6.3959,6.0172,0.6507,0.8660,0.3764,0.4557,0.2963,0.3558,0.3971,0.3903,6
DBNL,5.4565,4.7768,0.7746,0.9685,0.4215,0.4446,0.4523,0.4117,0.4126,0.4098,65
DBR1,0.8038,0.8002,2.2818,2.2108,0.8074,0.6825,0.5883,0.6154,0.6440,0.6256,83
DBT,0.3849,0.3972,0.7805,0.4713,1.4691,1.6327,2.1968,2.1326,1.0716,0.9300,50
DCAF10,1.7218,1.7752,1.4987,1.3696,0.8727,0.7798,0.8397,0.8454,1.1675,1.3196,16
DCAF11,2.4806,2.3194,1.5054,1.3663,0.8164,0.7749,0.8815,0.8581,0.7705,0.8438,37
DCAF12,0.4695,0.4926,1.2711,0.9560,0.9584,0.9012,1.0259,1.1248,1.9021,1.9785,14
DCAF13,0.6636,0.6601,0.5374,0.4944,1.9010,2.0157,1.0878,1.1813,1.4966,1.5466,68
DCAF15,1.2458,1.2946,2.0516,1.8662,0.7254,0.6671,0.6680,0.6384,0.5218,0.5936,12
DCAF16,2.1179,2.0899,1.9055,1.6445,0.7360,0.6616,0.6110,0.5756,0.4852,0.3912,10
DCAF4,0.8697,0.7652,0.6613,0.5923,0.7737,0.7904,0.8431,0.8166,3.0235,2.9923,16
DCAF5,0.6874,0.5612,1.9597,2.1614,0.8026,0.7857,0.7069,0.6681,0.8370,0.7797,54
DCAF6,1.7521,1.5553,1.8320,2.0534,0.8351,0.7714,0.7858,0.6662,0.7361,0.6534,32
DCAF7,2.0599,1.8565,1.2836,1.1470,1.2087,1.1714,1.0873,1.1342,0.7504,0.8226,52
DCAF8L2,1.9263,1.3070,0.4756,0.3118,1.6291,1.1050,2.0600,1.4384,2.2301,0.9272,1
DCAKD,0.6968,0.6143,0.4101,0.5678,1.5176,1.2800,1.9909,2.1014,1.3048,1.0149,19
DCBLD1,0.6133,0.6327,0.5734,0.5433,1.3031,1.3042,1.9732,2.1204,1.2815,1.3453,11
DCBLD2,0.4376,0.5789,0.5444,0.5382,1.2516,1.2882,2.1367,2.1264,1.6433,1.2599,13
DCD,1.2453,1.2834,1.4508,0.8013,1.0455,1.0610,1.8557,1.1398,1.2715,1.0958,12
DCDC2,1.4778,1.4318,0.8747,0.9171,1.1191,1.0913,1.3599,1.4441,1.1229,1.3896,28
DCK,3.0025,3.4539,1.9586,1.6833,0.5964,0.4764,0.4542,0.4578,0.3126,0.3399,27
DCLK1,4.1795,3.8971,1.0179,0.9998,0.6823,0.7212,0.7119,0.7337,0.4857,0.6071,39
DCLRE1A,0.8604,0.8388,0.5949,0.6885,1.9616,1.9588,1.1891,1.1592,1.1730,1.2757,13
DCLRE1B,0.6340,0.6576,0.8998,0.9859,1.2874,1.2007,1.1720,1.3180,1.4748,1.7942,10
DCLRE1C,0.7849,0.6582,1.9437,1.8165,0.8955,0.7718,0.6941,0.6538,0.8250,0.8451,7
DCP1B,1.1111,1.0703,1.3550,1.4045,0.8606,0.8662,0.8370,0.8812,1.5789,1.5646,21
DCP2,0.9375,0.9727,1.0660,1.0405,0.8902,0.8012,0.8346,0.8730,2.2296,2.2167,25
DCPS,0.7011,0.9188,2.1810,2.0543,0.9298,0.7498,0.8270,0.7024,0.6024,0.6751,55
DCST1,2.7990,3.2710,0.8129,0.9705,0.8781,0.8595,1.4268,0.9545,1.2404,0.7331,1
DCTD,5.4982,5.0880,1.0995,0.7066,0.6532,0.5292,0.6459,0.5857,0.5305,0.3491,9
DCTN1,4.2074,3.9604,0.9454,0.9995,0.6327,0.6721,0.6378,0.6801,0.6544,0.7281,192
DCTN2,4.6769,4.2890,1.0508,1.2754,0.5193,0.5397,0.4853,0.5076,0.4918,0.5719,138
DCTN3,4.4182,3.7131,0.8880,0.8708,0.7376,0.6788,0.6530,0.7526,0.5927,0.6005,29
DCTN4,3.3208,3.1609,1.0946,1.0975,0.6685,0.7304,0.7757,0.8308,0.8111,0.8945,47
DCTN5,3.8489,3.3098,1.0716,1.2530,0.6377,0.5935,0.6679,0.7757,0.7991,0.8220,10
DCTN6,3.7852,3.3621,1.3033,1.5469,0.6315,0.6961,0.5954,0.7487,0.6745,0.7078,15
DCTPP1,3.3884,3.3652,1.1285,1.2050,0.6327,0.6427,0.5665,0.5463,0.5241,0.5409,114
DCUN1D1,3.9659,3.7303,1.7387,1.2756,0.5835,0.5324,0.5177,0.4931,0.3826,0.3739,37
DCUN1D3,0.6665,0.7602,0.4329,0.4439,1.3043,1.2549,1.8853,2.1620,1.3938,1.5553,24
DCUN1D4,0.7911,1.0393,2.6042,1.4648,0.8874,0.8212,0.6978,0.8443,0.6928,0.7174,10
DCUN1D5,0.6689,0.9417,2.3022,1.3181,1.0932,0.9265,1.0093,0.9578,0.7341,0.7539,30
DCXR,2.2445,2.0364,1.2358,1.0503,1.0398,1.0665,1.3333,1.2508,0.6619,0.6156,57
DDA1,0.6188,0.6846,2.1772,2.2515,0.9175,0.8026,0.6822,0.7013,0.8375,0.7651,22
DDAH1,3.2666,3.1676,1.5935,1.9249,0.4993,0.5538,0.4279,0.4413,0.3185,0.3896,47
DDAH2,4.5101,4.1916,1.3439,1.5631,0.4751,0.4644,0.4284,0.4928,0.3748,0.4001,39
DDB1,1.6893,1.6279,1.6116,1.3340,1.0978,1.0732,0.8311,0.8602,0.8977,0.9158,510
DDB2,0.6396,0.6276,2.1268,2.0242,0.8520,0.8587,0.6506,0.6772,0.9866,0.9656,52
DDHD1,3.1654,3.0895,0.8338,0.7849,0.7984,0.8399,1.0250,0.9783,0.9497,1.0226,41
DDHD2,4.5325,4.2316,0.8237,0.8746,0.7172,0.6578,0.8925,0.8409,0.7058,0.8607,15
DDI2,3.6123,3.4560,1.5015,1.5581,0.6435,0.5886,0.5964,0.5745,0.4395,0.4568,54
DDOST,0.5565,0.5545,0.3590,0.4386,1.4300,1.3809,2.0974,2.1659,1.3624,1.2588,220
DDR1,0.5741,0.6286,0.7117,0.7056,1.1744,1.1598,1.7411,1.6997,1.4555,1.3905,78
DDRGK1,0.3786,0.3910,0.3962,0.4858,1.3142,1.2208,2.1950,2.0737,1.4304,1.1919,71
DDT,6.0213,4.3136,2.2523,0.6817,0.4624,0.2652,0.3435,0.3267,0.2032,0.0888,2
DDX1,1.0422,1.0089,1.7509,1.5865,0.9539,0.9072,0.7742,0.7865,1.1648,1.2289,356
DDX10,0.4718,0.4434,0.3404,0.4254,2.7330,2.7169,1.2554,1.2921,0.7837,0.7879,76
DDX11,1.0876,1.0625,1.4265,1.2095,1.2659,1.1128,1.2252,1.3102,0.9307,0.9163,37
DDX17,0.5141,0.5401,1.5380,1.5903,1.2143,1.2920,0.7704,0.8195,1.0888,1.1964,349
DDX18,0.4124,0.4093,0.3375,0.4139,2.1936,2.3025,1.0303,1.0778,1.6736,1.5157,254
DDX19A,5.0116,4.7084,0.9691,0.9797,0.5363,0.5662,0.4470,0.5448,0.4915,0.5783,20
DDX20,0.9828,0.9115,0.6602,0.6772,0.6900,0.6691,0.7813,0.8256,2.9020,3.0512,120
DDX21,0.4509,0.4553,0.4206,0.4285,2.2544,2.4386,0.9703,1.0467,1.5037,1.3828,370
DDX23,0.4629,0.4775,0.9715,0.9789,0.8886,0.9459,0.7153,0.7406,2.4862,2.5213,329
DDX24,0.4415,0.5020,0.4197,0.4260,1.3823,1.4769,0.8492,0.8591,2.7665,2.6274,163
DDX26B,0.5866,0.7088,0.7334,0.6917,1.3281,1.2991,0.8670,0.9294,2.1700,2.3220,18
DDX27,0.3841,0.4173,0.3760,0.4165,1.8035,1.9561,0.9480,1.0104,2.2402,2.0503,233
DDX28,0.6393,0.6450,0.6003,0.5250,1.2512,1.3122,1.8638,1.7684,1.5405,1.4096,24
DDX31,0.5134,0.4788,0.3873,0.4591,1.5210,1.6624,0.8523,0.9345,2.6196,2.2106,58
DDX39A,0.5827,0.6310,1.0977,1.1584,1.5310,1.5921,0.9752,0.9919,1.1917,1.2238,114
DDX39B,0.7420,0.7725,1.0165,0.9898,1.5535,1.5686,0.9153,0.9346,1.3161,1.3289,147
DDX3X,1.0282,0.9763,1.0565,1.0491,1.3399,1.3475,1.1051,1.1589,1.2475,1.4493,100
DDX41,0.6515,0.6257,1.2420,1.3021,1.2603,1.2489,1.0618,1.0984,1.2754,1.3613,108
DDX42,0.6240,0.5916,1.8542,2.0314,1.0469,1.0442,0.8171,0.8093,0.7170,0.7548,245
DDX43,2.2423,2.0663,1.1187,1.0470,0.8742,0.8914,0.8500,0.9030,1.1181,1.2688,24
DDX46,0.5661,0.5397,1.8142,2.1675,0.9541,0.8728,0.8391,0.7937,0.8371,0.8934,340
DDX47,0.6533,0.7139,0.5842,0.5894,1.9507,1.8786,1.1048,1.1013,1.4919,1.4561,64
DDX49,0.8250,0.6713,0.8015,0.6316,1.8823,1.8458,1.2698,1.3109,1.0844,1.0716,59
DDX5,0.4876,0.4713,0.7888,0.8379,1.4338,1.5082,1.1552,1.1964,1.7027,1.8044,525
DDX50,0.5431,0.5290,0.4454,0.4160,1.7698,1.8473,0.9449,0.9649,2.1955,2.0503,79
DDX51,0.4722,0.5221,0.4190,0.4717,2.1836,2.3750,1.1383,1.2576,1.2786,1.2409,48
DDX52,0.5194,0.6144,0.4271,0.4329,2.5207,2.7122,1.1336,1.2592,0.8645,0.7889,40
DDX54,0.4745,0.5470,0.4269,0.4645,1.8915,1.9779,0.9975,1.0371,1.7602,1.6026,125
DDX55,0.4116,0.4276,0.5829,0.4896,0.7875,0.7833,0.8191,0.8270,3.6329,2.6546,56
DDX56,0.6105,0.6112,0.6030,0.6666,1.6976,1.6952,1.0727,1.1337,1.7374,1.5379,95
DDX58,4.5434,4.2229,1.0213,0.9318,0.6871,0.6785,0.6795,0.6866,0.5430,0.5799,26
DDX59,0.7805,0.8092,2.1181,2.0460,0.9777,0.8675,0.8089,0.8535,0.6164,0.6529,45
DDX6,1.4943,1.4412,1.0029,0.9832,0.7579,0.7571,0.7815,0.7986,2.3584,1.9685,327
DEAF1,1.0375,0.8165,0.8055,0.9731,1.5783,1.6259,1.2374,1.2292,1.0285,1.0814,10
DECR1,0.5691,0.5312,0.9516,0.8966,1.3882,1.5029,1.9091,1.8180,0.8387,0.7966,195
DECR2,0.6592,0.6611,0.4839,0.5455,1.4316,1.3473,2.0629,1.9748,1.4344,1.3235,22
DEDD,0.4786,0.6406,1.0660,0.7956,1.6092,1.5422,1.0412,1.0907,1.2228,1.1682,7
DEDD2,1.2747,1.2917,1.2000,1.5959,1.0358,1.1052,0.6639,0.8278,1.4363,1.6080,1
DEF6,3.5805,3.3511,1.1837,1.1909,0.7538,0.7716,0.6941,0.7844,0.4761,0.5749,27
DEF8,1.9628,1.9174,1.2850,1.3735,0.8656,0.8456,0.9730,1.0910,1.1102,1.0219,15
DEGS1,0.4847,0.4459,0.4091,0.4190,1.4914,1.3556,2.0083,2.0184,1.5024,1.4065,9
DEGS2,0.5375,0.5424,0.5520,0.5726,1.6317,1.2503,1.7002,2.0032,1.6018,1.0709,10
DEK,0.5394,0.5572,2.1973,2.3999,0.8623,0.9243,0.5893,0.6336,0.7873,0.8568,187
DENND1A,2.2138,2.2757,0.6232,0.6121,0.9854,0.9602,1.6351,1.4956,1.0061,1.0591,34
DENND1B,3.0747,2.5653,0.9256,0.9459,0.9778,0.7904,1.0594,1.2148,0.7887,0.9516,5
DENND2C,0.8982,0.7012,0.7040,0.6467,1.3122,1.1883,2.0476,1.7069,1.3918,1.5019,18
DENND2D,1.2273,1.0113,0.6474,0.5144,1.2189,1.1920,1.6790,1.7810,1.3711,1.3925,27
DENND3,4.2111,3.5284,0.8594,0.7971,0.6596,0.6252,0.8389,0.8335,0.5562,0.6727,4
DENND4A,1.9998,1.8094,0.5596,0.7271,1.0185,1.0231,1.3749,1.3569,1.6631,1.5655,39
DENND4B,3.0541,2.3954,0.9217,1.1246,0.8099,1.0264,1.0547,1.2491,0.9366,0.9540,7
DENND4C,2.4018,2.4111,1.0165,1.0063,0.9161,0.8989,1.0879,1.0926,1.0193,0.9871,92
DENND6A,2.8095,2.4960,1.3686,1.1600,0.8954,0.8572,0.9568,0.9392,0.7116,0.8268,11
DENR,5.8313,4.9463,0.8881,1.1129,0.3209,0.3534,0.2653,0.2799,0.3257,0.3790,49
DEPDC1,1.1800,1.2060,0.7901,0.9293,1.0414,1.0758,1.1069,1.2311,1.7814,1.7870,12
DEPDC1B,1.1499,1.1160,0.5956,0.6118,1.1531,1.1880,1.7902,1.8100,1.4866,1.8801,11
DEPDC5,2.5589,2.5352,1.2889,0.9192,0.8184,0.6856,0.7821,0.6793,0.8586,0.8527,11
DEPTOR,3.5720,3.5014,0.9876,1.2730,0.7759,0.8050,0.7701,0.8163,0.7006,0.7202,23
DERA,4.4578,4.1433,0.9330,0.9575,0.5002,0.5249,0.5217,0.5670,0.8863,0.9432,33
DERL1,0.2513,0.1996,0.1196,0.1296,1.4987,1.1535,2.7420,2.1818,2.0424,0.9061,7
DERL2,0.5017,0.7081,0.4970,0.4757,1.2940,1.3762,2.1304,2.0467,1.4391,1.6792,13
DES,0.6342,0.6378,0.6589,0.3543,1.5990,1.7306,1.8135,1.6362,0.9470,1.0967,9
DESI1,2.8981,2.9337,1.0801,1.0586,1.0037,0.9390,0.9179,1.0098,0.6831,0.8890,3
DESI2,0.6091,0.5963,0.5093,0.4863,1.2634,1.1779,1.8393,1.7965,2.0503,2.0551,4
DET1,1.1897,1.4469,1.4081,1.5043,0.9130,0.8594,0.6911,0.8854,1.1732,0.8682,2
DFFA,1.7378,1.6815,2.1754,2.6742,0.6273,0.6175,0.4240,0.3895,0.3665,0.3425,63
DFFB,0.6259,0.6959,2.5356,1.5047,1.0336,0.8084,0.8525,0.8613,0.7146,0.7914,9
DFNB31,2.5048,2.2772,1.1304,2.2143,0.8246,0.8787,0.8828,0.6378,0.6317,0.6577,5
DGAT1,0.7256,0.8348,0.3463,0.3928,1.3207,1.2946,2.0195,1.8588,1.5002,1.2818,17
DGAT2,0.4879,0.6755,0.8006,0.9030,1.1409,1.2163,1.9560,1.8023,1.3563,1.2686,1
DGCR14,0.6882,0.7975,1.2840,1.3978,1.3228,1.4050,0.9292,0.9730,1.1575,1.3585,43
DGCR2,0.7688,0.3802,0.4816,0.5050,1.0633,1.1262,2.0945,2.0186,1.7179,1.7289,7
DGCR6L,3.1811,2.7669,0.9793,1.0865,1.2361,1.1843,0.9195,0.9422,0.7007,0.5561,2
DGCR8,0.5843,0.5508,0.5600,0.5248,0.7936,0.8565,0.7834,0.7605,3.5524,3.2329,47
DGKA,3.7355,3.6651,1.1063,0.9284,0.7652,0.7573,0.7471,0.8659,0.6164,0.6572,27
DGKD,1.6231,1.7888,1.0216,0.9844,1.1089,1.0122,1.5363,1.4779,0.9583,1.0635,12
DGKE,0.4838,0.5232,0.3737,0.4007,1.3611,1.3777,1.9183,2.0497,1.5632,1.5305,35
DGKH,4.6159,4.1154,0.7962,0.8821,0.5684,0.6685,0.6081,0.7777,0.4736,0.7247,9
DGKQ,4.9472,4.5559,0.9381,0.9496,0.7116,0.6198,0.7460,0.5579,0.4605,0.5646,9
DGKZ,3.5517,3.5525,1.1257,1.2110,0.6178,0.7083,0.5885,0.7191,0.7950,0.8840,38
DGUOK,0.8229,0.8383,1.0488,0.8647,1.4150,1.5870,1.9426,1.9074,0.5318,0.6088,7
DHCR24,0.5448,0.5284,0.4554,0.5073,1.3433,1.3662,1.9540,2.0408,1.5492,1.4647,89
DHCR7,0.5787,0.5423,0.4205,0.4971,1.3495,1.4627,1.7710,1.9298,1.3755,1.3080,62
DHDDS,0.5364,0.6649,0.5219,0.5295,1.2430,1.3154,2.0755,1.9937,1.4519,1.5732,19
DHFR,4.0410,3.9130,1.5215,1.2759,0.5160,0.5626,0.4604,0.4348,0.3493,0.3767,50
DHODH,0.6252,0.5898,0.3523,0.4546,1.5708,1.5052,2.4490,2.1482,0.9982,0.8728,58
DHPS,4.2043,3.8928,1.5153,1.3901,0.4916,0.4290,0.3914,0.4150,0.4005,0.3404,44
DHRS1,0.5501,0.5152,0.3165,0.2775,1.3998,1.4379,2.1256,2.2883,1.4689,1.4496,31
DHRS11,4.9837,3.7440,1.1031,1.2294,0.5480,0.5084,0.3550,0.3962,0.5008,0.6299,8
DHRS12,1.7887,1.8689,0.8541,1.0879,1.0064,1.1809,1.1281,1.1840,1.4073,1.0101,3
DHRS13,0.5485,0.5552,0.4553,0.8044,1.3087,1.3157,1.7213,1.9013,1.2960,1.1041,21
DHRS2,0.6789,0.5729,0.7816,0.9154,1.4163,1.4618,1.7960,1.8154,0.8759,0.9726,6
DHRS3,0.7830,0.6859,0.2745,0.4469,1.2624,1.3542,1.6323,2.2651,1.6384,1.7035,15
DHRS4,1.0323,0.9069,1.0827,1.0873,1.1964,1.1683,1.6924,1.6217,0.9899,0.8389,44
DHRS7,0.5135,0.6300,0.3385,0.3467,1.3711,1.2979,1.9317,2.0140,1.5971,1.5406,56
DHRS7B,0.4066,0.4437,0.3469,0.3692,1.3485,1.4062,2.1044,2.0456,1.4060,1.3545,32
DHRSX,0.4485,0.3855,0.2680,0.3668,1.4030,1.4150,1.9087,2.0499,1.5400,1.6742,13
DHTKD1,0.7332,0.7534,1.0301,0.9400,1.3191,1.4225,1.8083,1.8521,0.6913,0.7001,119
DHX15,0.6971,0.7067,0.9576,0.8611,1.5088,1.4739,0.9987,1.0156,1.6149,1.5156,376
DHX16,0.6963,0.6638,1.8372,1.7940,1.0805,1.0787,0.8240,0.7954,0.8994,0.9187,119
DHX29,1.3241,1.2837,1.4553,1.3827,0.8493,0.8104,0.7191,0.7674,1.3541,1.5065,137
DHX30,0.6681,0.5715,0.5408,0.5567,1.2312,1.2681,1.7105,1.5924,1.9493,1.6044,158
DHX32,2.9329,2.9317,0.8578,0.7491,1.0070,0.8302,1.2101,1.1813,0.9177,0.9886,38
DHX33,0.5328,0.5489,0.5067,0.5104,2.4669,2.5182,1.2516,1.2350,1.0360,0.9068,43
DHX34,0.9291,0.8707,1.5293,1.3464,1.2601,1.2113,0.9898,1.0640,1.0383,1.1612,40
DHX35,0.8686,0.8018,1.4595,1.1907,1.2894,1.2702,0.9922,1.0720,1.1822,1.2855,27
DHX36,1.1861,1.1165,0.7261,0.7110,1.0674,1.0758,0.9247,0.9428,2.3106,2.1447,147
DHX37,0.5193,0.5540,0.5785,0.5723,1.0020,1.0923,0.8548,0.8880,2.7831,2.6169,122
DHX38,0.6575,0.7245,1.5775,1.7321,1.1560,1.0690,1.0289,0.9601,0.9461,0.9266,165
DHX40,0.6314,0.5696,2.0129,1.6792,1.1750,1.1073,0.9345,0.9617,0.7506,0.8454,51
DHX57,0.9182,0.8667,0.6368,0.6513,0.8187,0.7519,0.9184,0.8680,3.0380,2.6456,128
DHX8,0.5470,0.5484,1.1009,1.0630,1.4477,1.4912,0.9656,1.0287,1.5139,1.5545,134
DHX9,0.5391,0.5462,0.5736,0.6151,1.5333,1.5379,0.9588,0.9905,2.1354,1.9762,883
DIABLO,0.5368,0.6575,1.5841,1.4107,1.0580,1.3118,1.1844,1.3170,0.5799,0.6314,65
DIAPH1,5.0299,4.6377,0.6911,0.7371,0.6515,0.6751,0.6948,0.7394,0.4737,0.5641,239
DIAPH2,4.9173,4.2356,0.7402,0.7547,0.6180,0.6822,0.6677,0.7094,0.5073,0.5801,84
DIAPH3,2.4067,2.2094,0.7560,0.7995,1.1132,1.1349,1.2270,1.3572,0.8853,1.1144,38
DICER1,1.1383,1.1594,0.8117,0.6926,0.7970,0.7734,0.8748,0.8757,2.6744,2.4733,165
DIDO1,0.5436,0.5525,1.6138,1.7847,0.9134,0.9716,0.7707,0.8177,1.1052,1.3924,305
DIEXF,0.7311,0.8200,1.6039,1.3798,1.5094,1.5477,0.9378,0.9293,0.7663,0.6913,48
DIMT1,0.6151,0.6682,0.6214,0.6191,0.9234,0.9530,0.8056,0.9381,2.8393,2.8123,54
DIP2A,3.1004,2.7665,1.1136,1.2312,0.8368,0.7859,0.9397,1.0528,0.8272,0.8557,21
DIP2B,2.6745,2.6124,1.1295,1.1983,0.7306,0.7197,0.9722,1.0137,0.9854,1.0800,88
DIP2C,2.5129,2.2608,1.0526,1.0024,0.9521,0.9792,1.1774,1.2229,0.8986,0.9115,31
DIRAS1,1.7918,1.3175,0.6819,0.6367,1.0821,1.0548,1.9263,1.7589,1.1210,1.2074,4
DIRC2,1.5441,1.1346,0.6333,0.9753,0.9185,0.8665,1.6625,1.3901,2.0993,1.6994,3
DIS3,0.6969,0.7362,2.0731,1.6425,1.0667,0.9841,0.8411,0.8409,0.8389,0.8412,106
DIS3L,2.3178,2.1079,1.3831,1.3003,0.7825,0.7396,0.7175,0.7661,1.1998,1.3219,40
DIS3L2,4.7917,4.5757,0.7238,0.7828,0.4979,0.5635,0.5299,0.5241,0.7414,0.7794,42
DISP1,0.7500,0.8406,0.7603,1.0395,1.0434,1.2291,1.1679,1.4232,1.3796,1.4392,4
DISP2,0.4798,0.5095,0.8576,1.5417,1.3528,1.3545,1.1891,1.2487,1.6534,1.4467,1
DKC1,0.6315,0.6457,0.6620,0.6828,1.8141,1.9976,1.0818,1.1099,1.5324,1.2739,179
DKK1,0.6023,0.5774,0.8820,1.0396,1.0211,1.0052,1.0825,1.4481,1.7128,1.9700,14
DLAT,0.5097,0.4937,0.6716,0.5914,1.2847,1.4562,1.9736,1.9235,1.5765,1.2615,105
DLD,0.5460,0.5605,0.7898,0.7824,1.3307,1.5529,2.0004,1.9689,0.9831,0.9154,265
DLG1,0.6048,0.6041,0.5658,0.5594,1.4165,1.4282,2.1846,2.1017,1.1233,1.2294,120
DLG2,1.0403,1.0626,1.0950,1.1195,1.0381,1.1418,1.8533,1.1739,1.0823,1.1473,3
DLG3,0.7108,0.8260,0.8884,1.0059,1.2839,1.2851,1.8519,1.6992,0.9913,1.0539,70
DLG5,0.6850,0.5743,0.8247,0.8759,1.2486,1.2638,1.5824,1.5996,1.3644,1.6233,138
DLGAP4,3.1306,2.5268,0.9232,0.8207,0.7075,0.7065,0.8417,0.7449,0.9293,0.9697,54
DLGAP5,5.3325,4.9086,0.9526,1.2343,0.4618,0.5299,0.4113,0.4323,0.3143,0.3962,71
DLL1,0.7504,0.6722,0.5916,0.5416,1.0549,1.1127,1.8347,1.7877,1.7829,1.7021,17
DLST,0.5246,0.5097,0.8117,0.7992,1.2202,1.4195,1.9061,1.7704,1.4483,1.2122,252
DLX1,2.3600,1.6454,0.6901,0.8529,1.4585,1.4125,1.3703,1.1511,1.0225,1.1490,3
DLX2,0.5922,0.5208,0.7819,0.5923,2.1089,1.6436,1.1792,1.4314,1.3621,1.6952,1
DMAP1,0.5697,0.6976,0.9546,0.9717,1.3402,1.5399,0.8767,0.9272,1.7497,1.7664,61
DMKN,2.3706,2.7866,0.8151,0.2669,1.0487,1.0809,1.4143,1.3697,1.1145,1.3641,2
DMPK,3.8543,3.7554,0.6676,0.6370,0.9352,1.0219,1.0241,1.0831,0.7510,0.7860,2
DMTF1,1.7071,1.5031,2.1016,1.9606,0.8528,0.9059,0.8126,0.7363,0.6427,0.4608,7
DMTN,2.8922,1.9860,1.6658,1.2695,0.8024,0.8341,0.6260,0.7807,1.1138,0.6246,3
DMWD,5.0572,4.8227,0.7789,0.7847,0.6231,0.5651,0.5220,0.4611,0.5639,0.7606,1
DMXL1,3.6560,3.4990,0.9763,0.9002,0.7889,0.8259,0.8397,0.8971,0.8381,0.9263,49
DMXL2,3.5348,3.2364,0.8459,0.8621,0.8550,0.8700,0.9052,0.9138,0.8698,0.9450,61
DNA2,2.3723,2.1646,1.2229,1.0881,0.9134,0.8925,1.0001,0.9646,0.9630,0.9747,20
DNAAF2,5.0214,4.6565,1.0542,1.1624,0.5638,0.5681,0.5848,0.5915,0.4014,0.5080,25
DNAAF3,3.8176,0.8704,1.3262,1.5332,0.6343,0.6603,0.7508,0.5512,0.3141,0.4976,1
DNAH1,2.5429,2.5135,1.2321,0.8374,1.0376,0.8218,0.8905,0.7885,0.9518,0.8061,3
DNAH2,0.7714,0.6628,1.4931,2.6421,0.9844,0.9708,0.7646,0.8683,0.9305,0.9891,2
DNAH7,1.3969,1.2160,1.5038,1.8657,0.5649,0.8302,0.8797,0.5943,0.6988,0.5753,4
DNAJA1,2.1129,2.1049,1.0301,1.1279,0.9633,0.9257,1.0481,1.0958,0.9499,1.0491,210
DNAJA2,2.2510,2.2787,0.9540,0.9448,0.9908,0.9450,1.1394,1.1929,0.9134,1.1029,104
DNAJA3,0.5116,0.5138,0.4807,0.5023,1.5948,1.6344,2.2770,2.1596,0.8927,0.8742,86
DNAJA4,3.8741,3.5483,0.9614,0.9642,0.7478,0.7399,0.7345,0.7398,0.5596,0.6529,33
DNAJB1,2.3149,2.1806,1.8065,1.8822,0.7082,0.6722,0.6843,0.6198,0.5172,0.5031,143
DNAJB11,0.5360,0.5777,0.8678,0.7948,1.1683,1.1884,1.8814,1.7707,1.2794,1.2777,155
DNAJB12,0.5025,0.4406,0.3182,0.5419,1.3125,1.3345,2.0018,1.9529,1.3287,1.4041,57
DNAJB14,0.5773,0.5305,0.3133,0.3905,1.2499,1.2762,2.0602,1.9583,1.5570,1.5119,16
DNAJB2,2.1268,1.7860,0.8315,0.7219,1.0350,1.0402,1.3514,1.3533,1.0530,1.1481,15
DNAJB4,2.7812,2.9626,1.5111,1.4538,0.6773,0.6403,0.6946,0.6916,0.6281,0.5807,12
DNAJB5,2.5691,2.4945,0.8288,0.9028,1.0307,0.9131,1.2185,0.9045,1.4304,1.2501,2
DNAJB6,1.2471,1.1617,0.8660,0.9035,1.2541,1.2413,1.3899,1.4069,1.2145,1.2859,67
DNAJB9,0.3873,0.5561,0.5270,0.4816,1.2432,1.2414,2.0753,2.2349,1.5143,1.4766,10
DNAJC1,0.4716,0.4949,0.4757,0.5644,1.3591,1.3477,2.1032,2.0296,1.4297,1.3428,87
DNAJC10,0.3726,0.4175,0.6865,0.6651,1.1811,1.1948,2.0281,2.0116,1.3293,1.4105,59
DNAJC11,0.7125,0.6685,0.6053,0.6041,1.5481,1.6441,1.9041,1.7908,0.8651,0.9980,120
DNAJC12,4.3636,4.0235,1.0486,1.2814,0.6780,0.6127,0.5667,0.6325,0.4811,0.4795,7
DNAJC13,0.7075,0.6360,0.4036,0.4090,0.8422,0.8419,1.3083,1.2525,2.9100,2.7104,280
DNAJC14,0.4813,0.5474,0.3655,0.3993,1.4146,1.0916,2.5098,2.3303,1.4513,1.2450,7
